service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
001-DUT,1,1,1,1,1,0,0,20241201,20270317
001-SAB,0,0,0,0,0,1,0,20241201,20270317
001-DOM,0,0,0,0,0,0,1,20241201,20270317
011-DUT,1,1,1,1,1,0,0,20251103,20270317
011-DOM,0,0,0,0,0,0,1,20251103,20270317
011-SAB,0,0,0,0,0,1,0,20251103,20270317
013-DUT,1,1,1,1,1,0,0,20251212,20270317
014-DUT,1,1,1,1,1,0,0,20251212,20270317
014-SAB,0,0,0,0,0,1,0,20251212,20270317
014-DOM,0,0,0,0,0,0,1,20251212,20270317
018-DUT,1,1,1,1,1,0,0,20251215,20270317
018-SAB,0,0,0,0,0,1,0,20251213,20270317
020-DUT,1,1,1,1,1,0,0,20250804,20270317
020-DOM,0,0,0,0,0,0,1,20250725,20270317
020-SAB,0,0,0,0,0,1,0,20250725,20270317
021-DOM,0,0,0,0,0,0,1,20240907,20270317
021-DUT,1,1,1,1,1,0,0,20250917,20270317
021-SAB,0,0,0,0,0,1,0,20230610,20270317
023-DUT,1,1,1,1,1,0,0,20250908,20270317
023-DOM,0,0,0,0,0,0,1,20241225,20270317
023-SAB,0,0,0,0,0,1,0,20250412,20270317
024-DOM,0,0,0,0,0,0,1,20250921,20270317
024-SAB,0,0,0,0,0,1,0,20230506,20270317
024-DUT,1,1,1,1,1,0,0,20250526,20270317
026-DOM,0,0,0,0,0,0,1,20230506,20270317
026-DUT,1,1,1,1,1,0,0,20250630,20270317
026-SAB,0,0,0,0,0,1,0,20210401,20270317
030-DUT,1,1,1,1,1,0,0,20250428,20270317
030-SAB,0,0,0,0,0,1,0,20240303,20270317
030-DOM,0,0,0,0,0,0,1,20240414,20270317
031-DOM,0,0,0,0,0,0,1,20251212,20270317
031-DUT,1,1,1,1,1,0,0,20260309,20270317
031-SAB,0,0,0,0,0,1,0,20251212,20270317
032-DUT,1,1,1,1,1,0,0,20250901,20270317
032-SAB,0,0,0,0,0,1,0,20260307,20270317
032-DOM,0,0,0,0,0,0,1,20260308,20270317
034-DOM,0,0,0,0,0,0,1,20230429,20270317
034-SAB,0,0,0,0,0,1,0,20230429,20270317
034-DUT,1,1,1,1,1,0,0,20240801,20270317
036-DUT,1,1,1,1,1,0,0,20251212,20270317
036-DOM,0,0,0,0,0,0,1,20251212,20270317
036-SAB,0,0,0,0,0,1,0,20251212,20270317
037-SAB,0,0,0,0,0,1,0,20240914,20270317
037-DUT,1,1,1,1,1,0,0,20250416,20270317
037-DOM,0,0,0,0,0,0,1,20240914,20270317
038-SAB,0,0,0,0,0,1,0,20251212,20270317
038-DUT,1,1,1,1,1,0,0,20251212,20270317
038-DOM,0,0,0,0,0,0,1,20251212,20270317
039-DUT,1,1,1,1,1,0,0,20250512,20270317
041-DUT,1,1,1,1,1,0,0,20260316,20270317
043-DUT,1,1,1,1,1,0,0,20250512,20270317
043-DOM,0,0,0,0,0,0,1,20241110,20270317
043-SAB,0,0,0,0,0,1,0,20241109,20270317
044-DUT,1,1,1,1,1,0,0,20251212,20270317
044-DOM,0,0,0,0,0,0,1,20251212,20270317
044-SAB,0,0,0,0,0,1,0,20251212,20270317
049-SAB,0,0,0,0,0,1,0,20230916,20270317
049-DUT,1,1,1,1,1,0,0,20250625,20270317
049-DOM,0,0,0,0,0,0,1,20231029,20270317
050-SAB,0,0,0,0,0,1,0,20250517,20270317
050-DOM,0,0,0,0,0,0,1,20230917,20270317
050-DUT,1,1,1,1,1,0,0,20260302,20270317
061-DOM,0,0,0,0,0,0,1,20260315,20270317
061-SAB,0,0,0,0,0,1,0,20260314,20270317
061-DUT,1,1,1,1,1,0,0,20251212,20270317
062-DUT,1,1,1,1,1,0,0,20251218,20270317
062-SAB,0,0,0,0,0,1,0,20251218,20270317
062-DOM,0,0,0,0,0,0,1,20260208,20270317
063-DUT,1,1,1,1,1,0,0,20251212,20270317
063-DOM,0,0,0,0,0,0,1,20251212,20270317
063-SAB,0,0,0,0,0,1,0,20251212,20270317
064-SAB,0,0,0,0,0,1,0,20251120,20270317
064-DUT,1,1,1,1,1,0,0,20260202,20270317
065-SAB,0,0,0,0,0,1,0,20251120,20270317
065-DUT,1,1,1,1,1,0,0,20251120,20270317
065-DOM,0,0,0,0,0,0,1,20251120,20270317
069-DOM,0,0,0,0,0,0,1,20200502,20270317
069-DUT,1,1,1,1,1,0,0,20251013,20270317
069-SAB,0,0,0,0,0,1,0,20200912,20270317
070-DOM,0,0,0,0,0,0,1,20230820,20270317
070-SAB,0,0,0,0,0,1,0,20251011,20270317
070-DUT,1,1,1,1,1,0,0,20250625,20270317
071-DUT,1,1,1,1,1,0,0,20251212,20270317
071-DOM,0,0,0,0,0,0,1,20251212,20270317
071-SAB,0,0,0,0,0,1,0,20251212,20270317
072-DUT,1,1,1,1,1,0,0,20260202,20270317
072-SAB,0,0,0,0,0,1,0,20260207,20270317
073-DUT,1,1,1,1,1,0,0,20251212,20270317
073-DOM,0,0,0,0,0,0,1,20251212,20270317
073-SAB,0,0,0,0,0,1,0,20251212,20270317
075-DUT,1,1,1,1,1,0,0,20250922,20270317
075-DOM,0,0,0,0,0,0,1,20250921,20270317
075-SAB,0,0,0,0,0,1,0,20250920,20270317
080-SAB,0,0,0,0,0,1,0,20230506,20270317
080-DOM,0,0,0,0,0,0,1,20240901,20270317
080-DUT,1,1,1,1,1,0,0,20250415,20270317
101-SAB,0,0,0,0,0,1,0,20251212,20270317
101-DUT,1,1,1,1,1,0,0,20251212,20270317
101-DOM,0,0,0,0,0,0,1,20251229,20270317
102-SAB,0,0,0,0,0,1,0,20221119,20270317
102-DOM,0,0,0,0,0,0,1,20240901,20270317
102-DUT,1,1,1,1,1,0,0,20260303,20270317
103-DUT,1,1,1,1,1,0,0,20250428,20270317
103-DOM,0,0,0,0,0,0,1,20241124,20270317
103-SAB,0,0,0,0,0,1,0,20251018,20270317
104-DUT,1,1,1,1,1,0,0,20250616,20270317
106-DUT,1,1,1,1,1,0,0,20231101,20270317
106-SAB,0,0,0,0,0,1,0,20230701,20270317
106-DOM,0,0,0,0,0,0,1,20200501,20270317
1062-DOM,0,0,0,0,0,0,1,20231201,20270317
1062-DUT,1,1,1,1,1,0,0,20250804,20270317
1062-SAB,0,0,0,0,0,1,0,20231201,20270317
107-DUT,1,1,1,1,1,0,0,20251212,20270317
107-SAB,0,0,0,0,0,1,0,20251212,20270317
1076-DOM,0,0,0,0,0,0,1,20250621,20270317
1076-DUT,1,1,1,1,1,0,0,20250804,20270317
1076-SAB,0,0,0,0,0,1,0,20250620,20270317
108-DUT,1,1,1,1,1,0,0,20220401,20270317
108-SAB,0,0,0,0,0,1,0,20230805,20270317
110-DUT,1,1,1,1,1,0,0,20241002,20270317
110-SAB,0,0,0,0,0,1,0,20241123,20270317
110-DOM,0,0,0,0,0,0,1,20240501,20270317
1100-SAB,0,0,0,0,0,1,0,20250409,20270317
1100-DUT,1,1,1,1,1,0,0,20250409,20270317
1100-DOM,0,0,0,0,0,0,1,20250409,20270317
115-SAB,0,0,0,0,0,1,0,20241019,20270317
115-DUT,1,1,1,1,1,0,0,20241002,20270317
115-DOM,0,0,0,0,0,0,1,20240901,20270317
116-SAB,0,0,0,0,0,1,0,20251212,20270317
116-DUT,1,1,1,1,1,0,0,20251212,20270317
117-SAB,0,0,0,0,0,1,0,20251212,20270317
117-DUT,1,1,1,1,1,0,0,20251212,20270317
117-DOM,0,0,0,0,0,0,1,20251212,20270317
118-DOM,0,0,0,0,0,0,1,20260207,20270317
118-SAB,0,0,0,0,0,1,0,20260207,20270317
118-DUT,1,1,1,1,1,0,0,20260207,20270317
120-DOM,0,0,0,0,0,0,1,20250804,20270317
120-DUT,1,1,1,1,1,0,0,20250711,20270317
120-SAB,0,0,0,0,0,1,0,20250804,20270317
121-DOM,0,0,0,0,0,0,1,20251212,20270317
121-DUT,1,1,1,1,1,0,0,20251212,20270317
121-SAB,0,0,0,0,0,1,0,20251212,20270317
122-DUT,1,1,1,1,1,0,0,20250711,20270317
124-SAB,0,0,0,0,0,1,0,20251104,20270317
124-DUT,1,1,1,1,1,0,0,20251104,20270317
125-SAB,0,0,0,0,0,1,0,20260221,20270317
125-DUT,1,1,1,1,1,0,0,20251028,20270317
125-DOM,0,0,0,0,0,0,1,20260221,20270317
126-SAB,0,0,0,0,0,1,0,20250804,20270317
126-DUT,1,1,1,1,1,0,0,20260303,20270317
126-DOM,0,0,0,0,0,0,1,20250804,20270317
128-DUT,1,1,1,1,1,0,0,20250925,20270317
128-SAB,0,0,0,0,0,1,0,20251025,20270317
128-DOM,0,0,0,0,0,0,1,20230702,20270317
129-SAB,0,0,0,0,0,1,0,20260221,20270317
129-DOM,0,0,0,0,0,0,1,20260222,20270317
129-DUT,1,1,1,1,1,0,0,20260202,20270317
131-SAB,0,0,0,0,0,1,0,20251212,20270317
131-DUT,1,1,1,1,1,0,0,20251212,20270317
131-DOM,0,0,0,0,0,0,1,20260201,20270317
132-SAB,0,0,0,0,0,1,0,20260314,20270317
132-DUT,1,1,1,1,1,0,0,20260303,20270317
132-DOM,0,0,0,0,0,0,1,20260306,20270317
134-SAB,0,0,0,0,0,1,0,20241228,20270317
134-DOM,0,0,0,0,0,0,1,20250921,20270317
134-DUT,1,1,1,1,1,0,0,20241228,20270317
135-DUT,1,1,1,1,1,0,0,20251015,20270317
135-SAB,0,0,0,0,0,1,0,20251129,20270317
135-DOM,0,0,0,0,0,0,1,20241020,20270317
136-DUT,1,1,1,1,1,0,0,20250925,20270317
136-DOM,0,0,0,0,0,0,1,20250804,20270317
136-SAB,0,0,0,0,0,1,0,20250804,20270317
138-DUT,1,1,1,1,1,0,0,20260303,20270317
138-DOM,0,0,0,0,0,0,1,20251123,20270317
138-SAB,0,0,0,0,0,1,0,20250816,20270317
139-DOM,0,0,0,0,0,0,1,20240901,20270317
139-SAB,0,0,0,0,0,1,0,20251108,20270317
139-DUT,1,1,1,1,1,0,0,20250901,20270317
140-SAB,0,0,0,0,0,1,0,20230515,20270317
140-DUT,1,1,1,1,1,0,0,20250201,20270317
140-DOM,0,0,0,0,0,0,1,20230515,20270317
141-DUT,1,1,1,1,1,0,0,20260303,20270317
141-DOM,0,0,0,0,0,0,1,20241020,20270317
141-SAB,0,0,0,0,0,1,0,20260314,20270317
