service_id,date,exception_type
001-DOM,20260403,1
011-DOM,20260403,1
014-DOM,20260403,1
020-DOM,20260403,1
021-DOM,20260403,1
023-DOM,20260403,1
024-DOM,20260403,1
026-DOM,20260403,1
030-DOM,20260403,1
031-DOM,20260403,1
032-DOM,20260403,1
034-DOM,20260403,1
036-DOM,20260403,1
037-DOM,20260403,1
038-DOM,20260403,1
043-DOM,20260403,1
044-DOM,20260403,1
049-DOM,20260403,1
050-DOM,20260403,1
061-DOM,20260403,1
062-DOM,20260403,1
063-DOM,20260403,1
065-DOM,20260403,1
069-DOM,20260403,1
070-DOM,20260403,1
071-DOM,20260403,1
073-DOM,20260403,1
075-DOM,20260403,1
080-DOM,20260403,1
101-DOM,20260403,1
102-DOM,20260403,1
103-DOM,20260403,1
106-DOM,20260403,1
1062-DOM,20260403,1
1076-DOM,20260403,1
110-DOM,20260403,1
1100-DOM,20260403,1
115-DOM,20260403,1
117-DOM,20260403,1
118-DOM,20260403,1
120-DOM,20260403,1
121-DOM,20260403,1
125-DOM,20260403,1
126-DOM,20260403,1
128-DOM,20260403,1
129-DOM,20260403,1
131-DOM,20260403,1
132-DOM,20260403,1
134-DOM,20260403,1
135-DOM,20260403,1
136-DOM,20260403,1
138-DOM,20260403,1
139-DOM,20260403,1
140-DOM,20260403,1
141-DOM,20260403,1
142-DOM,20260403,1
143-DOM,20260403,1
145-DOM,20260403,1
146-DOM,20260403,1
149-DOM,20260403,1
151-DOM,20260403,1
152-DOM,20260403,1
153-DOM,20260403,1
154-DOM,20260403,1
155-DOM,20260403,1
157-DOM,20260403,1
158-DOM,20260403,1
159-DOM,20260403,1
160-DOM,20260403,1
162-DOM,20260403,1
163-DOM,20260403,1
164-DOM,20260403,1
165-DOM,20260403,1
166-DOM,20260403,1
167-DOM,20260403,1
168-DOM,20260403,1
170-DOM,20260403,1
172-DOM,20260403,1
178-DOM,20260403,1
181-DOM,20260403,1
183-DOM,20260403,1
184-DOM,20260403,1
185-DOM,20260403,1
1902-DOM,20260403,1
1903-DOM,20260403,1
1904-DOM,20260403,1
1905-DOM,20260403,1
1906-DOM,20260403,1
1907-DOM,20260403,1
1908-DOM,20260403,1
1909-DOM,20260403,1
