fare_id,route_id
A,001
A,011
A,013
A,014
G,018
A,020
A,021
A,023
A,024
A,026
A,030
A,031
A,032
A,034
A,036
A,037
A,038
A,039
E3,041
A,043
A,044
A,049
A,050
A,061
A,062
A,063
E1,064
A,065
A,069
A,070
A,071
E1,072
A,073
A,075
A,080
A,101
A,102
A,103
A,104
A,106
A,107
A,108
A,110
A,115
A,116
A,117
A,118
A,120
A,121
A,122
A,124
A,125
A,126
A,128
A,129
A,131
A,132
A,134
A,135
A,136
A,138
A,139
A,140
A,141
A,142
A,143
A,144
A,145
A,146
A,149
A,151
A,152
A,153
A,154
G,155
A,157
A,158
A,159
E1,160
A,162
A,163
A,164
A,165
A,166
A,167
A,168
A,170
A,171
A,172
A,178
A,181
A,183
A,184
A,185
F,191
Y,195
A,196
A,198
A,199
A,200
A,201
A,202
A,203
A,205
A,206
A,207
A,208
A,209
A,211
A,212
A,216
A,219
A,220
A,221
A,222
E1,229
A,232
A,233
A,238
A,240
A,242
A,243
A,244
A,245
A,250
A,251
A,252
A,254
A,255
A,256
A,258
A,261
A,262
A,272
A,274
A,290
A,291
A,302
A,303
A,311
A,312
A,313
A,314
A,315
A,320
A,321
A,322
A,324
A,330
A,331
A,332
A,333
A,341
E1,342
A,346
A,347
A,348
A,351
A,352
A,360
A,361
A,362
A,363
A,370
A,411
A,412
A,414
A,418
A,424
A,440
A,510
A,511
A,513
A,514
A,515
A,516
A,517
A,520
A,521
A,522
A,523
A,524
A,532
A,533
A,601
A,604
A,611
A,612
A,613
A,621
A,622
A,623
A,624
A,626
A,630
A,631
A,632
A,640
A,641
A,642
A,643
A,644
A,645
A,680
A,700
A,710
A,711
A,712
A,713
A,714
A,715
A,717
A,718
A,721
A,722
A,723
A,724
A,741
A,742
A,743
A,744
A,745
A,746
A,760
A,780
A,800
A,810
A,820
A,821
A,822
A,823
A,824
A,825
A,827
A,831
A,841
A,842
A,843
A,844
A,846
A,847
A,852
A,858
A,860
A,861
A,870
A,881
A,882
A,883
A,884
A,885
A,886
A,892
A,893
A,894
A,895
A,901
A,910
A,914
A,916
A,1062
A,1076
A,1100
A,1902
A,1903
A,1904
A,1905
A,1906
A,1907
A,1908
A,1909
A,1911
A,1912
A,1913
A,1917
A,1918
A,1921
A,1922
A,1923
A,1926
A,1927
A,1928
A,1929
A,1931
A,1932
A,1933
A,1934
A,1935
A,1936
A,1937
A,1940
A,1941
A,1943
A,1944
A,1945
A,1946
A,1948
A,1949
A,1950
A,1952
A,1953
A,1955
A,1956
A,1957
A,1958
A,1960
A,1963
A,1964
A,1966
A,1967
A,1968
A,1969
A,1971
A,1973
A,1974
A,1975
A,1977
A,1978
A,1980
A,1981
A,1982
A,1983
A,1984
A,1985
A,1986
A,1987
A,1988
A,1989
A,1992
A,1993
A,1994
A,1995
A,1996
A,1998
A,2040
A,2043
A,2060
A,2402
A,2410
A,2416
A,2417
A,2419
A,2420
A,2421
A,2423
A,2427
A,2429
A,2431
A,2433
A,2434
A,2437
A,2441
A,2442
A,2444
A,2445
A,2446
A,2448
A,2450
A,2456
A,2457
A,2459
A,2462
A,2463
A,2464
A,2466
A,2467
A,2470
A,2473
A,2475
A,2476
A,2477
A,2478
A,2480
A,2481
A,2483
A,2486
A,2487
A,2488
A,2490
A,2491
A,2492
A,2493
A,2501
A,2502
A,2503
A,2504
A,2505
A,2920
A,2930
A,4123
A,4133
A,4137
